"site_id","entity_id","year_BP","mineralogy","d18O_measurement","d13C_measurement","d18O_dweq","d13C_dweq","TEMP","PREC","ISOT","ITIF","EVAP"
"2","14","128","calcite","-6.98","-6.05","-10.3571646913306","-6.05","6.07712821197527","85.4686526563292","-14.4528159211527","-13.5067241567311","72.3137937398894"
"2","14","158","calcite","-7.02","-5.97","-10.2986540660445","-5.97","6.54647673838915","92.1869029644427","-14.7490660904345","-14.5713392009031","79.0264591039914"
"2","14","189","calcite","-7.07","-5.71","-10.3734073091836","-5.71","6.43713728605049","85.7429014160478","-14.4171803595258","-14.3330791500456","72.9933368759261"
"2","14","219","calcite","-7.2","-5.6","-10.4827679253067","-5.6","6.55331936495039","92.6041135105708","-13.9424480962932","-14.0253282791185","78.158681763576"
"2","14","250","calcite","-7.38","-4.61","-10.7465851646423","-4.61","6.18496525070445","87.0732106207647","-13.9503068480539","-14.5334023777456","74.622503794633"
"2","14","281","calcite","-7.6","-4.81","-11.0032944465805","-4.81","6.04444064913258","87.5961253070582","-14.189640747819","-14.1416208730139","74.7158501391301"
"2","14","311","calcite","-7.87","-4.77","-11.2418446585996","-4.77","6.23147304064606","87.5494503260935","-14.1868633970549","-14.4467039873908","75.2095818392005"
"2","14","342","calcite","-7.62","-4.58","-10.9442388654042","-4.58","6.41912162771357","83.3509648259095","-14.2515809915496","-13.6797426006917","70.5294891467078"
"2","14","373","calcite","-7.87","-5.02","-11.1706395353807","-5.02","6.56672895254413","85.5611014777917","-14.1908336525342","-14.2430411101831","72.1430386190464"
"2","14","391","calcite","-7.85","-5.38","-11.2437210988465","-5.38","6.12572730411125","91.1533018914916","-14.3660407844734","-14.4280183654282","78.1664286865773"
"2","14","410","calcite","-7.67","-5.44","-10.9698219300658","-5.44","6.54143426165131","87.1103016296176","-13.8927609244564","-13.5698882155147","74.4341496944422"
"2","14","428","calcite","-8.17","-5.93","-11.4983075835219","-5.93","6.480056408342","85.0963933984975","-14.3855617532467","-14.1362441625701","72.272439053214"
"2","14","447","calcite","-8.34","-6.04","-11.6809475639789","-6.04","6.44527638646917","87.3998381450915","-13.8706780559064","-12.8702029524128","74.3241245788816"
"2","14","466","calcite","-8.53","-6.44","-11.9329108606075","-6.44","6.18135627957219","91.0843440832588","-14.3508189259636","-14.2728885451587","77.6849241998682"
"2","14","484","calcite","-8.87","-6.78","-12.3080402321815","-6.78","6.06568215457408","90.8775799964234","-14.1271391881906","-13.9544711786878","77.0720344095784"
"2","14","503","calcite","-9.21","-6.91","-12.6457044572336","-6.91","6.126046099626","87.055622243206","-13.8908182416307","-14.7478408538452","73.5099796883872"
