"site_id","entity_id","latitude","longitude","elevation","geology","cover_thickness","distance_entrance"
2,620,42.87,81.75,2000,"unknown","NULL","NULL"
2,621,42.87,81.75,2000,"unknown","NULL","NULL"
3,21,-4.0667,-55.45,60,"limestone","NULL","200"
4,33,45.43,0.78,175,"limestone","8","150"
7,48,-24,29.1833,1420,"dolomite","22.5","100"
10,447,-21.083,-56.583,570,"dolomite","10","150"
17,76,33.5833,105.1167,1650,"unknown","NULL","600"
25,93,-5.92,-77.35,870,"limestone","80","600"
25,94,-5.92,-77.35,870,"limestone","80","700"
27,97,-16,-47,200,"dolomite","30","250"
32,107,-15.5784,46.7344,43,"limestone","NULL","NULL"
38,113,-12.3819,-41.5733,680,"limestone","NULL","500"
39,442,25.2833,108.0833,680,"limestone","NULL","500"
42,118,30.708,-9.3275,1250,"limestone","NULL","NULL"
52,128,-15.2055,-56.8,340,"limestone","NULL","800"
57,137,66,14,280,"marble","NULL","NULL"
63,147,20.73,-89.716,20,"unknown","NULL","NULL"
80,172,29.2289,107.9036,480,"dolomite","300","NULL"
85,178,16.883,-89.108,530,"limestone","NULL","8"
86,179,44.2568,15.5372,32,"limestone","22","150"
92,185,40.4833,72.5833,1435,"limestone","40","35"
94,187,-15.53,46.88,131,"mixed","100","1000"
94,188,-15.53,46.88,131,"mixed","100","1000"
94,190,-15.53,46.88,131,"mixed","NULL","NULL"
99,197,-19.4,17.8833,1400,"dolomite","NULL","100"
101,201,46.95,10.55,1140,"mixed","NULL","NULL"
104,226,-8.53,120.43,550,"limestone","40","800"
107,209,16.2086,-89.0735,336,"limestone","14","50"
112,222,30.75,109.47,1250,"limestone","NULL","NULL"
116,238,4.03,114.8,150,"unknown","NULL","NULL"
117,240,51.3675,7.6647,184,"limestone","15","NULL"
130,278,19,82,400,"unknown","NULL","220"
135,464,33.95,-4.246,1260,"dolomite","NULL","50"
136,286,17.4,-99.2,934,"limestone","160","800"
136,289,17.4,-99.2,934,"limestone","160","800"
139,294,42.0981,-123.4072,1300,"marble","60","NULL"
141,305,41.4167,31.9333,440,"limestone","NULL","NULL"
153,328,18.8667,81.8667,600,"unknown","NULL","300"
154,329,33.5667,109.1,1495,"limestone","NULL","NULL"
157,348,15.15,77.92,475,"unknown","NULL","NULL"
173,378,18,-67,350,"limestone","50","360"
179,390,45.1,22.8,433,"limestone","90","300"
183,443,22.38,-83.97,120,"mixed","150","1500"
186,399,-8.05,110.633,500,"limestone","100","500"
198,420,29.48,109.5333,455,"limestone","NULL","120"
198,496,29.48,109.5333,455,"limestone","100","NULL"
200,422,42.0875,-111.519,2347,"limestone","160","NULL"
205,430,-13.81,-46.35,631,"unknown","30","300"
208,436,-0.36,100.76,600,"mixed","NULL","105"
209,437,40.4,72.35,1490,"limestone","35","100"
215,588,33.9558,-4.2461,1260,"dolomite","NULL","300"
215,589,33.9558,-4.2461,1260,"dolomite","NULL","300"
216,461,27.2,106.1667,1120,"unknown","NULL","NULL"
225,498,-18.1222,-65.7739,2660,"limestone","70","200"
228,506,32.1,-104.26,1300,"unknown","30","NULL"
244,528,38.1667,113.7167,1200,"limestone","NULL","NULL"
248,538,28.333,103.1,1407,"limestone","NULL","NULL"
248,539,28.333,103.1,1407,"limestone","NULL","NULL"
251,544,38.25,113.7,975,"mixed","NULL","NULL"
269,573,35.8,45.1645,650,"limestone","20","NULL"
273,577,36.59,-118.82,1386,"unknown","70","150"
277,598,-11.27,-75.79,3850,"dolomite","NULL","650"
278,613,32,-105.2,1900,"unknown","NULL","NULL"
293,672,20.75,102.65,352,"limestone","NULL","200"
