"entity_id","mineralogy","interp_age","d13C_measurement","d18O_measurement"
21,"calcite",106.297757975,-8.94,-5.46
21,"calcite",113.684483381,-8.03,-5.17
21,"calcite",121.071208787,-8.62,-5.44
21,"calcite",128.457934192,-9.12,-5.51
21,"calcite",135.844659598,-8.36,-5.31
21,"calcite",143.231385003,-8.96,-5.63
21,"calcite",150.618110409,-9.36,-5.73
21,"calcite",158.004835815,-8.54,-5.74
21,"calcite",165.39156122,-8.93,-6.18
21,"calcite",172.778286626,-9.38,-6.27
21,"calcite",180.165012032,-8.67,-5.77
21,"calcite",187.551737437,-8.98,-5.75
21,"calcite",194.938462843,-8.49,-5.53
21,"calcite",202.325188248,-6.5,-4.73
21,"calcite",210.368700538,-7.54,-5.65
21,"calcite",218.412212827,-8.19,-5.63
21,"calcite",226.455725116,-7.79,-5.06
21,"calcite",234.499237405,-8.2,-5.47
21,"calcite",242.542749694,-8.02,-5.5
21,"calcite",250.586261984,-8.66,-5.55
21,"calcite",258.629774273,-8.79,-6.03
21,"calcite",266.673286562,-7.98,-4.97
21,"calcite",274.716798851,-8.12,-5.26
21,"calcite",282.760311141,-8.26,-5.41
21,"calcite",290.80382343,-8.26,-4.92
21,"calcite",298.847335719,-8.51,-4.86
21,"calcite",306.890848008,-7.96,-5.19
21,"calcite",314.934360297,-8.76,-5.35
21,"calcite",322.977872587,-8.42,-5.12
21,"calcite",331.021384876,-7.79,-4.91
21,"calcite",339.064897165,-8.6,-5.19
21,"calcite",347.108409454,-8.7,-5.2
21,"calcite",355.151921744,-9.07,-5.22
21,"calcite",363.195434033,-8.75,-5
21,"calcite",371.238946322,-8.58,-5.29
21,"calcite",379.282458611,-8.55,-5.06
21,"calcite",387.3259709,-8.45,-5.02
21,"calcite",395.36948319,-8.28,-5.5
21,"calcite",403.412995479,-9.19,-6.2
21,"calcite",407.092731797,-8.08,-5.31
21,"calcite",410.772468115,-8.46,-5.26
21,"calcite",414.452204433,-9.2,-5.28
21,"calcite",418.13194075,-8.65,-4.98
21,"calcite",421.811677068,-9.23,-5.66
21,"calcite",425.491413386,-8.46,-5.49
21,"calcite",429.171149704,-8.85,-5.26
21,"calcite",432.850886022,-8.55,-5.6
21,"calcite",436.53062234,-8.91,-5.67
21,"calcite",440.210358658,-9.38,-5.87
21,"calcite",443.890094976,-9.3,-5.84
21,"calcite",447.569831293,-9.13,-5.69
21,"calcite",451.249567611,-9.24,-5.74
21,"calcite",454.929303929,-9.34,-5.6
21,"calcite",458.609040247,-9.69,-6.05
21,"calcite",462.288776565,-9.38,-6.17
21,"calcite",465.968512883,-9.31,-5.95
21,"calcite",469.648249201,-9.5,-6.15
21,"calcite",473.327985519,-8.92,-5.73
21,"calcite",477.007721836,-9.55,-5.94
21,"calcite",480.687458154,-9.34,-5.86
21,"calcite",484.367194472,-9.12,-5.63
21,"calcite",488.04693079,-9.55,-5.83
21,"calcite",491.726667108,-8.95,-5.61
21,"calcite",495.406403426,-9.03,-5.93
21,"calcite",499.086139744,-9.06,-5.91
21,"calcite",502.765876062,-8.59,-5.89
21,"calcite",506.445612379,-9.07,-6.37
21,"calcite",510.125348697,-8.8,-5.78
21,"calcite",513.805085015,-8.75,-5.6
21,"calcite",517.484821333,-9.35,-5.8
21,"calcite",521.164557651,-9.26,-5.58
21,"calcite",524.844293969,-9.29,-5.83
21,"calcite",528.524030287,-9.24,-5.93
21,"calcite",532.203766605,-9.48,-6.29
21,"calcite",535.51937694,-9.6,-6.36
21,"calcite",538.834987275,-9.47,-6.16
21,"calcite",542.150597611,-9.18,-5.38
21,"calcite",545.466207946,-9.26,-5.58
21,"calcite",548.781818281,-9.15,-5.73
21,"calcite",552.097428617,-8.7,-5.39
21,"calcite",555.413038952,-8.85,-5.43
21,"calcite",558.728649287,-9.38,-5.59
21,"calcite",562.044259622,-9.4,-5.86
21,"calcite",565.359869958,-9.71,-5.86
21,"calcite",568.675480293,-9.22,-5.94
21,"calcite",571.991090628,-9.31,-6.3
21,"calcite",575.306700964,-9.31,-6.2
21,"calcite",578.622311299,-9.04,-6.17
21,"calcite",581.937921634,-9.41,-6.03
21,"calcite",585.25353197,-9.46,-5.75
21,"calcite",588.569142305,-9.5,-6.02
21,"calcite",591.88475264,-9.5,-5.83
21,"calcite",595.200362976,-9.1,-5.99
21,"calcite",598.515973311,-9.32,-6.22
21,"calcite",605.314308694,-9.2,-5.98
21,"calcite",612.112644076,-8.49,-5.82
21,"calcite",618.910979459,-8.78,-5.67
21,"calcite",625.709314842,-9.32,-5.66
21,"calcite",632.507650225,-9.45,-5.82
21,"calcite",639.305985608,-9.42,-6.19
21,"calcite",646.10432099,-9.1,-6.3
21,"calcite",652.902656373,-8.89,-5.72
21,"calcite",659.700991756,-8.79,-5.65
21,"calcite",666.499327139,-8.59,-5.8
21,"calcite",673.297662521,-8.67,-5.99
21,"calcite",680.095997904,-8.39,-5.67
21,"calcite",686.894333287,-8.49,-5.78
21,"calcite",693.69266867,-9.21,-6.15
21,"calcite",700.491004052,-9.11,-5.85
21,"calcite",707.289339435,-8.96,-5.86
21,"calcite",714.087674818,-8.81,-5.84
