Cave,Speleothem,number of data point,δ13C [‰],MAT [°C],Precipi-tation [mm/a],altitude [m asl],Comments on dating,Reference
Anjohibe Cave,AB3,12,3.38,27.2,1496,100,1/-/-,Burns et al. (2016)
Anjohibe Cave,AB2,191,3.49,27.2,1496,100,1/-/-,Scroxton et al. (2017)
Ascunsa Cave,POM2,2,-10.37,8.2,600,1050,0/dripping/-,Drăguşin et al. (2014)
Bero Cave,Bero-1,135,-4.61,18.9,1030,1363,0/LC/14C-BPD,Asrat et al. (2008)
Bir-Uja Cave,Keklik1,58,-4.89,12.1,353,1325,0/-/14C-BPD,Fohlmeister et al. (2017)
Botuverá Cave,BT-2,1,-6.16,19.5,1300,230,0/-/-,Cruz et al. (2005)
Brown's Follymine,Boss,17,-9.63,10,842,150,0/LC/-,Baldini et al. (2005)
Brown's Follymine,BFM-9,12,-9.31,10,842,150,0/LC/14C-BPD,Baldini et al. (2005)
Brown's Follymine,F2,17,-8.83,10,842,150,0/LC/-,Baldini et al. (2005)
Bunker Cave,Bu4,8,-5.86,10.8,950,184,0/-/14C-BPD,Fohlmeister et al. (2012)
Cango Cave,V3,2,-6.34,17.5,172,650,0/dripping/-,Talma and Vogel (1992)
Ceremosnja Cave,CC-1,3,-7.84,11.6,695,530,0/dripping/-,Kacanski et al. (2001)
Cold Air Cave,T8*,13,-6.09,17.3,521,1420,0/-/-,Holmgren et al. (2003)
Cold Air Cave,T7_2013*,106,-7.12,17.3,521,1420,1/LC/14C-BPD,Sundqvist et al. (2013)
Crag Cave,CC3,2,-7.41,10.5,1475,60,0/-/-,McDermott et al. (1999)
Dante Cave,DP1_2016*,31,-10.70,21,532,1300,2/-/-,Voarintsoa et al. (2017a)
Defore Cave,S3,83,-10.16,25.7,500,150,0/LC/-,Burns et al. (2002)
DeSoto Caverns,DSSG-4*,33,-9.50,17.4,1406,170,0/-/-,Aharon et al. (2013)
Furong Cave,FR-0510*,9,-5.32,18.3,1086,260,0/-/-,Li et al. (2011)
Guillotine Cave,GT05-5,9,-9.23,9.6,2400,740,0/-/-,Whittaker (2008)
Han-sur-Lesse Cave,Han-stm5b,15,-9.37,8.9,787,180,0/LC/14C-BPD,Genty et al. (1998)
Heshang Cave,HS4_2008,102,-12.08,18,1460,694,0/LC/14C-BPD,Hu et al. (2008)
Ifoulki Cave,IFK1,66,-7.93,17,400,1265,1/-/-,Ait Brahim et al. (2017)
Jhumar Cave,JHU-1,70,-11.92,25.5,1503,600,1/-/-,Sinha et al. (2011)
Kesang Cave,KS08-1-H,2,-6.20,4.5,500,2000,0/-/-,Cheng et al. (2016)
Kinderlinskaya Cave,KC-3,2,-8.16,3,560,240,0/-/-,Baker et al. (2017)
Klapferloch Cave,PFU6,38,-2.54,4.8,600,1140,0/LC/-,Boch and Spötl (2011)
Korallgrottan Cave,K11,5,-6.25,1.4,866,600,0/-/-,Sundqvist et al. (2010)
Leviathan Cave,LC-1,3,-4.18,8.3,106,2400,0/-/-,Lachniet et al. (2014)
Liang Luar Cave,LR06-B1_2016,58,-9.90,25,1200,550,1/-/14C-BPD,Griffiths et al. (2016)
Macal Chasm,MC01,15,-11.02,21,2095,550,0/active/210Pb,Webster et al. (2007)
Modric Cave,MOD-22,6,-7.25,16,960,32,0/dripping/-,Rudzka et al. (2012)
Munagamanu Cave,Mun-stm2,44,-5.72,27.6,526,475,1/-/-,Atsawawaranunt et al. (2018a)
